6VhU_T463sU,17.16.11,"The Making of Hela's Headdress from Thor: Ragnarok","Tested",28,"2017-11-12 15:00:01","tested|'testedcom'|'designercon 2017'|'preview'|'toys'|'props'|'costumes'|'ironhead studio'|'marvel'|'thor'|'thor 3'|'thor ragnorok'|'thor ragnarok'|'hela'|'helmet'|'cosplay'|'headdress'|'costume'",327935,4345,175,261,"https://i.ytimg.com/vi/6VhU_T463sU/default.jpg",False,False,False
MKLlDnUqho4,17.16.11,"Dead Beat Sirah ft. Skrillex (official video)","SIRAH",10,"2017-11-14 16:30:00","Sirah|'Skrillex'|'Music'|'hip hop'|'female rapper'|'Demi Lovato'|'Owsla'|'Deadbeat'|'Dead Beat'",28147,1801,48,263,"https://i.ytimg.com/vi/MKLlDnUqho4/default.jpg",False,False,False
4v0nOAzcG2A,17.16.11,"The Super Google Pixel 2 Camera Upgrade!","Jonathan Morrison",28,"2017-11-11 15:38:32","Google|'Pixel 2'|'Pixel 2 XL'|'Pixel 2 Camera'|'Moment Lens'|'Pixel 2 Moment case'|'Moment Case Lens'|'Smartphone'|'2017'|'Apple'|'google pixel'|'apple iphone x'|'pixel 2 xl review'|'iphone 8'|'iphone'|'google pixel 2'|'camera'|'google pixel xl'|'pixel 2 unboxing'|'review'|'iphone x'|'pixel'|'android'|'tech'|'jonathan morrison'|'tld'",300601,10497,382,991,"https://i.ytimg.com/vi/4v0nOAzcG2A/default.jpg",False,False,False
i4YQRLQVixM,17.16.11,"How Bkav tricked iPhone X's Face ID with a mask","Bkav Corp",28,"2017-11-10 07:28:14","bkav|'iphonex'|'iphone x'|'face id'|'faceid'|'iphone10'|'face id beaten'|'bphone2017'|'bphone'|'apple'|'Nguyen Tu Quang'|'Ngo Tuan Anh'|'Nguyễn Tử Quảng'|'Ngô Tuấn Anh'",1167646,2691,916,1122,"https://i.ytimg.com/vi/i4YQRLQVixM/default.jpg",False,False,False
G8gJ4RTBxcg,17.16.11,"Coconut crab hunts seabird","New Scientist",28,"2017-11-09 15:20:54","crab|'bird'|'biology'|'animal'|'ecology'|'nature'",465893,111,14,59,"https://i.ytimg.com/vi/G8gJ4RTBxcg/default.jpg",False,False,False
fRj34o4hN4I,17.17.11,"What's new, Atlas?","BostonDynamics",28,"2017-11-16 21:12:25","Robotics|'Humanoid Robots'|'Legged Locomotion'|'Dynamic robots'|'Boston Dynamics'",1603415,65594,700,12169,"https://i.ytimg.com/vi/fRj34o4hN4I/default.jpg",False,False,False
Lxet1zLBTM8,17.17.11,"Top 5 OnePlus 5T Features!","Marques Brownlee",28,"2017-11-16 17:36:14","OnePlus 5T|'OnePlus 5T preview'|'OnePlus 5T review'|'OnePlus 5T features'|'OnePlus'|'5T'|'OnePlus 6'|'MKBHD'|'OnePlus 5T vs'|'camera'|'OnePlus camera'|'OnePlus 5T camera'",1117997,50946,760,5525,"https://i.ytimg.com/vi/Lxet1zLBTM8/default.jpg",False,False,False
DhwwTxTh5To,17.17.11,"Is the Surface Book 2 a MacBook Pro Killer?","Austin Evans",28,"2017-11-16 14:01:40","surface book|'surface book 2'|'microsoft surface book 2'|'microsoft surface book'|'surface'|'microsoft surface'|'macbook'|'macbook pro'|'surface book 2 review'|'new surface book'|'new surface'|'microsoft'|'windows 10'|'apple'|'laptop'|'tablet'|'review'|'windows'|'tech'|'austin evans'",270859,11492,576,1715,"https://i.ytimg.com/vi/DhwwTxTh5To/default.jpg",False,False,False
mZpGOQ7tBKE,17.17.11,"Google Pixel Buds review","The Verge",28,"2017-11-16 13:00:03","pixel buds|'google pixel buds'|'google pixel buds review'|'wireless earbuds'|'review'|'google assistant'|'airpods'|'translate'|'translation'|'the verge'|'verge'|'sean o'kane'|'google'",218153,5155,308,655,"https://i.ytimg.com/vi/mZpGOQ7tBKE/default.jpg",False,False,False
dUMH6DVYskc,17.17.11,"Ten-Year-Old's Face Unlocks Face ID on His Mom's iPhone X","Attaullah Malik",28,"2017-11-14 12:02:49","Face ID Fail|'Son unlocks mom's iphone x'|'Ten-Year-Old's Face Unlocks Face ID'|'Ten-Year-Old'|'10 year old'|'10 year old iphone x'|'10-year-old iphone x'|'10 year old unlocked iphone x'|'iphone x'|'unlocks'|'mom'|'unlocked'|'iphone'",1828753,10814,5339,4793,"https://i.ytimg.com/vi/dUMH6DVYskc/default.jpg",False,False,False
